time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
8,0.9521747922518702,0.3033709985056534,0.30103092783505153,0.375,1,0.373015873015873,0.5100000000000001,0.3192129200070398,1.0,0,4,8,6,0
7,0.0,1.0000000000000004,0.016701030927835054,1.0,1,1.0,0.0,0.17685160210451717,0.22147651006711408,1,5,6,2,0
6,0.9918978643171434,0.049593949241395485,0.5814432989690721,0.125,1,0.373015873015873,0.5100000000000001,0.3192129200070398,0.48993288590604034,0,3,3,0,0
5,0.1260340733529446,0.8727380188082545,0.09278350515463918,0.3125,0,0.0,0.7120000000000001,0.10000007792364214,0.0,2,8,5,3,0
4,0.958358960621863,0.10864533535248366,0.0,0.625,1,0.373015873015873,0.5100000000000001,0.3192129200070398,0.053691275167785234,0,2,2,8,0
3,0.9687035866039797,0.0560445135852925,0.5876288659793815,0.375,1,0.373015873015873,0.5100000000000001,0.3192129200070398,0.3489932885906041,0,1,1,4,0
2,0.17851199268132878,0.8546668645238658,0.06804123711340206,0.0,0,0.06349206349206349,0.32799999999999996,0.0,0.0,2,7,4,5,0
1,0.14796307605172876,0.8768429233907344,0.3030927835051546,0.8125,0,0.4285714285714286,1.0,1.0,0.04697986577181208,2,6,7,1,0
0,1.0,0.0,1.0,0.5625,1,0.373015873015873,0.5100000000000001,0.3192129200070398,0.604026845637584,0,0,0,7,0
